node_id,node_type,label,layer,base_queriability,upward_queriability,normalized_upward_queriability,raw_cartesian_queriability,cartesian_queriability,normalized_cartesian_queriability,queriability,normalized_queriability,field_id,canonical_path,record_family,form_group,nested_subgroup,kind,dv_type,operators,coverage,effective_diversity,local_utility,specificity,aqf_visual_weight,operator_count,weighted_operator_burden,depth
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::HCPA::components_/_transplantation,canonical_subgroup,components / transplantation,3,0.0,0.3019230769230769,0.013672929634835487,1.0305162026521388,0.5118218386097165,0.5118218386097165,0.5118218386097165,0.5118218386097165,,,,,,,,,,,,,,,,
field:cf_c89fef6e42073d,field,indicator of transplantation,4,0.15096153846153845,0.15096153846153845,0.006836464817417743,0.7206404431915607,0.35791724153543564,0.35791724153543564,0.35791724153543564,0.35791724153543564,cf_c89fef6e42073d,HCPA / components / transplantation / indicator of transplantation,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / transplantation,boolean,DV_BOOLEAN,equals;is_known;is_unknown,0.08653846153846154,0.3,0.02596153846153846,0.5,0.15096153846153845,3.0,2.0,4.0
field:cf_d7a40eea03f1d2,field,number of transplantations,4,0.15096153846153845,0.15096153846153845,0.006836464817417743,0.7206404431915607,0.35791724153543564,0.35791724153543564,0.35791724153543564,0.35791724153543564,cf_d7a40eea03f1d2,HCPA / components / transplantation / number of transplantations,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,HCPA,components / transplantation,numeric,DV_COUNT,<;>;between;equals;is_known;is_unknown,0.08653846153846154,0.3,0.02596153846153846,0.5,0.15096153846153845,6.0,6.0,4.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_weight,canonical_group,Body weight,2,0.0,0.11971153846153845,0.005421273055850376,1.1289388457433704,0.5607049692370052,0.5607049692370052,0.5607049692370052,0.5607049692370052,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Body_weight::Simple,canonical_subgroup,Simple,3,0.0,0.11971153846153845,0.005421273055850376,0.6591900315909154,0.3273969425165342,0.3273969425165342,0.3273969425165342,0.3273969425165342,,,,,,,,,,,,,,,,
field:cf_cc107606becdfc,field,Weight,4,0.11971153846153845,0.11971153846153845,0.005421273055850376,0.4761339220783276,0.23647928950113464,0.23647928950113464,0.23647928950113464,0.23647928950113464,cf_cc107606becdfc,Body weight / Simple / Weight,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Body weight,Simple,numeric,DV_QUANTITY,<;>;between;equals;is_known;is_unknown,0.08653846153846154,0.3,0.02596153846153846,0.375,0.11971153846153845,6.0,6.0,3.0
group:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Height/Length,canonical_group,Height/Length,2,0.0,0.18221153846153845,0.008251656578985111,1.139863523461797,0.5661308796901096,0.5661308796901096,0.5661308796901096,0.5661308796901096,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1::Height/Length::Simple,canonical_subgroup,Simple,3,0.0,0.18221153846153845,0.008251656578985111,0.6853750909609747,0.3404021579574915,0.3404021579574915,0.3404021579574915,0.3404021579574915,,,,,,,,,,,,,,,,
field:cf_1b05aa3c7da77f,field,Height/Length,4,0.18221153846153845,0.18221153846153845,0.008251656578985111,0.5371950302374895,0.26680623493405237,0.26680623493405237,0.26680623493405237,0.26680623493405237,cf_1b05aa3c7da77f,Height/Length / Simple / Height/Length,openEHR-EHR-COMPOSITION.outpatient_high_complexity_procedures.v1,Height/Length,Simple,numeric,DV_QUANTITY,<;>;between;equals;is_known;is_unknown,0.08653846153846154,0.3,0.02596153846153846,0.625,0.18221153846153845,6.0,6.0,5.0
family:openEHR-EHR-COMPOSITION.hospitalisation.v1,composition_family,openEHR-EHR-COMPOSITION.hospitalisation.v1,1,0.0,9.154438405797102,0.4145691460371188,1.8639094435777437,0.9257395041036566,0.9257395041036566,0.9257395041036566,0.9257395041036566,,,,,,,,,,,,,,,,
group:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge,canonical_group,Patient discharge,2,0.0,1.8083333333333333,0.08189242993603166,1.3429011249415836,0.6669726502793006,0.6669726502793006,0.6669726502793006,0.6669726502793006,,,,,,,,,,,,,,,,
subgroup:openEHR-EHR-COMPOSITION.hospitalisation.v1::Patient_discharge::Components,canonical_subgroup,Components,3,0.0,1.8083333333333333,0.08189242993603166,1.3227213954405639,0.6569500749628937,0.6569500749628937,0.6569500749628937,0.6569500749628937,,,,,,,,,,,,,,,,
field:cf_79ed78f34fef6f,field,date of discharge,4,0.8854166666666666,0.8854166666666666,0.04009709991107541,1.4650188784302365,0.7276243246116341,0.7276243246116341,0.7276243246116341,0.7276243246116341,cf_79ed78f34fef6f,Patient discharge / Components / date of discharge,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient discharge,Components,temporal,DV_DATE_TIME,after;before;between;equals;is_known;is_unknown,1.0,0.7916666666666666,0.7916666666666666,0.375,0.8854166666666666,6.0,6.0,3.0
field:cf_be52992cb12705,field,hospital infection,4,0.13541666666666666,0.13541666666666666,0.006132497633458592,0.8875643822104876,0.4408226021273087,0.4408226021273087,0.4408226021273087,0.4408226021273087,cf_be52992cb12705,Patient discharge / Components / hospital infection,openEHR-EHR-COMPOSITION.hospitalisation.v1,Patient discharge,Components,null,NULL_FLAVOUR,equals;is_known;is_unknown,1.0,0.041666666666666664,0.041666666666666664,0.375,0.13541666666666666,3.0,2.0,3.0
